model,domain,ppl,stderr_ppl,status,samples,date,source
gemma-e4b-eu-kiki-base,chat-fr,115.536,4.472,ok,25,2026-05-10,31_domains_baseline.json
gemma-e4b-eu-kiki-base,cpp,23.707,0.785,ok,25,2026-05-10,31_domains_baseline.json
gemma-e4b-eu-kiki-base,docker-devops,12.843,0.381,ok,25,2026-05-10,31_domains_baseline.json
gemma-e4b-eu-kiki-base,embedded,198.964,8.318,ok,25,2026-05-10,31_domains_baseline.json
gemma-e4b-eu-kiki-base,emc-dsp-power,170.164,6.647,ok,25,2026-05-10,31_domains_baseline.json
gemma-e4b-eu-kiki-base,freecad,21.927,0.733,ok,25,2026-05-10,31_domains_baseline.json
gemma-e4b-eu-kiki-base,html-css,16.135,0.544,ok,25,2026-05-10,31_domains_baseline.json
gemma-e4b-eu-kiki-base,iot,175.163,7.299,ok,25,2026-05-10,31_domains_baseline.json
gemma-e4b-eu-kiki-base,kicad-dsl,11.012,0.326,ok,25,2026-05-10,31_domains_baseline.json
gemma-e4b-eu-kiki-base,kicad-pcb,5.444,0.146,ok,25,2026-05-10,31_domains_baseline.json
gemma-e4b-eu-kiki-base,llm-ops,41.154,1.653,ok,25,2026-05-10,31_domains_baseline.json
gemma-e4b-eu-kiki-base,llm-orch,29.509,1.1,ok,25,2026-05-10,31_domains_baseline.json
gemma-e4b-eu-kiki-base,lua-upy,24.219,0.8,ok,25,2026-05-10,31_domains_baseline.json
gemma-e4b-eu-kiki-base,math-gsm8k,22.11,0.755,ok,25,2026-05-10,31_domains_baseline.json
gemma-e4b-eu-kiki-base,math-reasoning,9.54,0.278,ok,25,2026-05-10,31_domains_baseline.json
gemma-e4b-eu-kiki-base,ml-training,20.931,0.685,ok,25,2026-05-10,31_domains_baseline.json
gemma-e4b-eu-kiki-base,multilingual-eu,196.981,8.079,ok,25,2026-05-10,31_domains_baseline.json
gemma-e4b-eu-kiki-base,music-audio,18.228,0.633,ok,25,2026-05-10,31_domains_baseline.json
gemma-e4b-eu-kiki-base,platformio,15.847,0.558,ok,25,2026-05-10,31_domains_baseline.json
gemma-e4b-eu-kiki-base,python,12.42,0.371,ok,25,2026-05-10,31_domains_baseline.json
gemma-e4b-eu-kiki-base,rust,12.164,0.359,ok,25,2026-05-10,31_domains_baseline.json
gemma-e4b-eu-kiki-base,rust-embedded,20.953,0.68,ok,25,2026-05-10,31_domains_baseline.json
gemma-e4b-eu-kiki-base,security-fenrir,98.283,3.455,ok,25,2026-05-10,31_domains_baseline.json
gemma-e4b-eu-kiki-base,shell,373.047,17.049,ok,25,2026-05-10,31_domains_baseline.json
gemma-e4b-eu-kiki-base,spice-sim,33.623,1.158,ok,25,2026-05-10,31_domains_baseline.json
gemma-e4b-eu-kiki-base,sql,19.773,0.717,ok,25,2026-05-10,31_domains_baseline.json
gemma-e4b-eu-kiki-base,traduction-tech,334.512,15.07,ok,25,2026-05-10,31_domains_baseline.json
gemma-e4b-eu-kiki-base,typescript,11.784,0.344,ok,25,2026-05-10,31_domains_baseline.json
gemma-e4b-eu-kiki-base,web-backend,16.024,0.544,ok,25,2026-05-10,31_domains_baseline.json
gemma-e4b-eu-kiki-base,web-frontend,14.368,0.484,ok,25,2026-05-10,31_domains_baseline.json
gemma-e4b-eu-kiki-base,yaml-json,17.634,0.6,ok,25,2026-05-10,31_domains_baseline.json
gemma-e2b,chat-fr,201.556,8.238,ok,25,2026-05-10,31_domains_baseline.json
gemma-e2b,cpp,42.132,1.509,ok,25,2026-05-10,31_domains_baseline.json
gemma-e2b,docker-devops,13.771,0.411,ok,25,2026-05-10,31_domains_baseline.json
gemma-e2b,embedded,150.307,5.62,ok,25,2026-05-10,31_domains_baseline.json
gemma-e2b,emc-dsp-power,316.078,12.246,ok,25,2026-05-10,31_domains_baseline.json
gemma-e2b,freecad,35.805,1.261,ok,25,2026-05-10,31_domains_baseline.json
gemma-e2b,html-css,17.969,0.616,ok,25,2026-05-10,31_domains_baseline.json
gemma-e2b,iot,141.111,5.285,ok,25,2026-05-10,31_domains_baseline.json
gemma-e2b,kicad-dsl,16.026,0.506,ok,25,2026-05-10,31_domains_baseline.json
gemma-e2b,kicad-pcb,7.348,0.206,ok,25,2026-05-10,31_domains_baseline.json
gemma-e2b,llm-ops,26.334,0.86,ok,25,2026-05-10,31_domains_baseline.json
gemma-e2b,llm-orch,24.958,0.831,ok,25,2026-05-10,31_domains_baseline.json
gemma-e2b,lua-upy,35.484,1.233,ok,25,2026-05-10,31_domains_baseline.json
gemma-e2b,math-gsm8k,24.305,0.821,ok,25,2026-05-10,31_domains_baseline.json
gemma-e2b,math-reasoning,10.677,0.311,ok,25,2026-05-10,31_domains_baseline.json
gemma-e2b,ml-training,32.717,1.136,ok,25,2026-05-10,31_domains_baseline.json
gemma-e2b,multilingual-eu,270.778,10.888,ok,25,2026-05-10,31_domains_baseline.json
gemma-e2b,music-audio,16.089,0.528,ok,25,2026-05-10,31_domains_baseline.json
gemma-e2b,platformio,16.332,0.54,ok,25,2026-05-10,31_domains_baseline.json
gemma-e2b,python,12.873,0.382,ok,25,2026-05-10,31_domains_baseline.json
gemma-e2b,rust,13.259,0.397,ok,25,2026-05-10,31_domains_baseline.json
gemma-e2b,rust-embedded,32.053,1.08,ok,25,2026-05-10,31_domains_baseline.json
gemma-e2b,security-fenrir,220.883,8.363,ok,25,2026-05-10,31_domains_baseline.json
gemma-e2b,shell,126.064,4.875,ok,25,2026-05-10,31_domains_baseline.json
gemma-e2b,spice-sim,42.404,1.45,ok,25,2026-05-10,31_domains_baseline.json
gemma-e2b,sql,14.408,0.458,ok,25,2026-05-10,31_domains_baseline.json
gemma-e2b,traduction-tech,328.381,13.865,ok,25,2026-05-10,31_domains_baseline.json
gemma-e2b,typescript,13.343,0.393,ok,25,2026-05-10,31_domains_baseline.json
gemma-e2b,web-backend,16.836,0.565,ok,25,2026-05-10,31_domains_baseline.json
gemma-e2b,web-frontend,15.324,0.514,ok,25,2026-05-10,31_domains_baseline.json
gemma-e2b,yaml-json,18.423,0.618,ok,25,2026-05-10,31_domains_baseline.json
ministral-3b,chat-fr,7.118,0.117,ok,25,2026-05-10,31_domains_baseline.json
ministral-3b,cpp,5.386,0.085,ok,25,2026-05-10,31_domains_baseline.json
ministral-3b,docker-devops,6.265,0.098,ok,25,2026-05-10,31_domains_baseline.json
ministral-3b,embedded,8.64,0.148,ok,25,2026-05-10,31_domains_baseline.json
ministral-3b,emc-dsp-power,10.154,0.173,ok,25,2026-05-10,31_domains_baseline.json
ministral-3b,freecad,5.561,0.087,ok,25,2026-05-10,31_domains_baseline.json
ministral-3b,html-css,6.083,0.099,ok,25,2026-05-10,31_domains_baseline.json
ministral-3b,iot,8.978,0.154,ok,25,2026-05-10,31_domains_baseline.json
ministral-3b,kicad-dsl,4.286,0.062,ok,25,2026-05-10,31_domains_baseline.json
ministral-3b,kicad-pcb,2.945,0.039,ok,25,2026-05-10,31_domains_baseline.json
ministral-3b,llm-ops,6.743,0.108,ok,25,2026-05-10,31_domains_baseline.json
ministral-3b,llm-orch,6.653,0.108,ok,25,2026-05-10,31_domains_baseline.json
ministral-3b,lua-upy,6.675,0.106,ok,25,2026-05-10,31_domains_baseline.json
ministral-3b,math-gsm8k,6.278,0.102,ok,25,2026-05-10,31_domains_baseline.json
ministral-3b,math-reasoning,5.611,0.084,ok,25,2026-05-10,31_domains_baseline.json
ministral-3b,ml-training,5.416,0.084,ok,25,2026-05-10,31_domains_baseline.json
ministral-3b,multilingual-eu,7.781,0.129,ok,25,2026-05-10,31_domains_baseline.json
ministral-3b,music-audio,5.906,0.094,ok,25,2026-05-10,31_domains_baseline.json
ministral-3b,platformio,6.919,0.115,ok,25,2026-05-10,31_domains_baseline.json
ministral-3b,python,6.377,0.1,ok,25,2026-05-10,31_domains_baseline.json
ministral-3b,rust,6.146,0.096,ok,25,2026-05-10,31_domains_baseline.json
ministral-3b,rust-embedded,7.15,0.121,ok,25,2026-05-10,31_domains_baseline.json
ministral-3b,security-fenrir,10.477,0.175,ok,25,2026-05-10,31_domains_baseline.json
ministral-3b,shell,5.78,0.096,ok,25,2026-05-10,31_domains_baseline.json
ministral-3b,spice-sim,6.814,0.11,ok,25,2026-05-10,31_domains_baseline.json
ministral-3b,sql,6.048,0.097,ok,25,2026-05-10,31_domains_baseline.json
ministral-3b,traduction-tech,6.478,0.106,ok,25,2026-05-10,31_domains_baseline.json
ministral-3b,typescript,6.343,0.099,ok,25,2026-05-10,31_domains_baseline.json
ministral-3b,web-backend,6.212,0.102,ok,25,2026-05-10,31_domains_baseline.json
ministral-3b,web-frontend,6.073,0.098,ok,25,2026-05-10,31_domains_baseline.json
ministral-3b,yaml-json,6.475,0.106,ok,25,2026-05-10,31_domains_baseline.json
ministral-3-8b,chat-fr,7.56,0.13,ok,25,2026-05-10,31_domains_baseline.json
ministral-3-8b,cpp,4.853,0.078,ok,25,2026-05-10,31_domains_baseline.json
ministral-3-8b,docker-devops,6.139,0.098,ok,25,2026-05-10,31_domains_baseline.json
ministral-3-8b,embedded,10.416,0.189,ok,25,2026-05-10,31_domains_baseline.json
ministral-3-8b,emc-dsp-power,10.359,0.181,ok,25,2026-05-10,31_domains_baseline.json
ministral-3-8b,freecad,5.015,0.078,ok,25,2026-05-10,31_domains_baseline.json
ministral-3-8b,html-css,6.19,0.104,ok,25,2026-05-10,31_domains_baseline.json
ministral-3-8b,iot,10.915,0.2,ok,25,2026-05-10,31_domains_baseline.json
ministral-3-8b,kicad-dsl,4.022,0.057,ok,25,2026-05-10,31_domains_baseline.json
ministral-3-8b,kicad-pcb,2.606,0.033,ok,25,2026-05-10,31_domains_baseline.json
ministral-3-8b,llm-ops,6.469,0.107,ok,25,2026-05-10,31_domains_baseline.json
ministral-3-8b,llm-orch,6.402,0.106,ok,25,2026-05-10,31_domains_baseline.json
ministral-3-8b,lua-upy,6.737,0.112,ok,25,2026-05-10,31_domains_baseline.json
ministral-3-8b,math-gsm8k,6.159,0.1,ok,25,2026-05-10,31_domains_baseline.json
ministral-3-8b,math-reasoning,4.988,0.074,ok,25,2026-05-10,31_domains_baseline.json
ministral-3-8b,ml-training,4.994,0.078,ok,25,2026-05-10,31_domains_baseline.json
ministral-3-8b,multilingual-eu,7.9,0.136,ok,25,2026-05-10,31_domains_baseline.json
ministral-3-8b,music-audio,6.057,0.101,ok,25,2026-05-10,31_domains_baseline.json
ministral-3-8b,platformio,7.601,0.132,ok,25,2026-05-10,31_domains_baseline.json
ministral-3-8b,python,6.093,0.098,ok,25,2026-05-10,31_domains_baseline.json
ministral-3-8b,rust,6.223,0.099,ok,25,2026-05-10,31_domains_baseline.json
ministral-3-8b,rust-embedded,6.385,0.108,ok,25,2026-05-10,31_domains_baseline.json
ministral-3-8b,security-fenrir,9.306,0.155,ok,25,2026-05-10,31_domains_baseline.json
ministral-3-8b,shell,6.295,0.109,ok,25,2026-05-10,31_domains_baseline.json
ministral-3-8b,spice-sim,7.608,0.133,ok,25,2026-05-10,31_domains_baseline.json
ministral-3-8b,sql,6.087,0.1,ok,25,2026-05-10,31_domains_baseline.json
ministral-3-8b,traduction-tech,6.186,0.103,ok,25,2026-05-10,31_domains_baseline.json
ministral-3-8b,typescript,6.229,0.1,ok,25,2026-05-10,31_domains_baseline.json
ministral-3-8b,web-backend,6.383,0.109,ok,25,2026-05-10,31_domains_baseline.json
ministral-3-8b,web-frontend,6.033,0.102,ok,25,2026-05-10,31_domains_baseline.json
ministral-3-8b,yaml-json,6.626,0.114,ok,25,2026-05-10,31_domains_baseline.json
